Tool,size_t,tp_t,fp_t,tn_t,fn_t,accuracy_t,precision_t,recall_t,f1_t,fnr_t,fpr_t,ex_to,ex,to,time
confuzzius,159,6,14,82,57,55.3,47.5,55.3,47.9,90.5,14.6,18.0,18,0,304.3750882943471
mythril-0.24.7,159,7,0,96,56,64.8,77.8,64.8,54.7,88.9,0.0,54.5,1,85,664.0699643728868
osiris,159,55,19,77,8,83.0,84.1,83.0,83.2,12.7,19.8,13.5,6,12,240.03789186177764
oyente,159,45,21,75,18,75.5,75.7,75.5,75.6,28.6,21.9,47.0,47,0,17.605280085929536
