Tool,size_t,tp_t,fp_t,tn_t,fn_t,accuracy_t,precision_t,recall_t,f1_t,fnr_t,fpr_t,ex_to,ex,to,time
confuzzius,309,73,4,85,147,51.1,78.1,51.1,50.3,66.8,4.5,19.6,19,2,481.0067942566856
mythril-0.24.7,309,67,4,85,153,49.2,77.5,49.2,47.8,69.5,4.5,20.1,0,62,491.70925652865066
slither-0.10.4,309,112,23,66,108,57.6,70.0,57.6,59.4,49.1,25.8,11.0,11,0,1.7070025988767061
