Tool,size_t,tp_t,fp_t,tn_t,fn_t,accuracy_t,precision_t,recall_t,f1_t,fnr_t,fpr_t,ex_to,ex,to,time
confuzzius,185,93,8,82,2,94.6,94.8,94.6,94.6,2.1,8.9,5.0,5,0,565.1190743420575
mythril-0.24.7,185,19,6,84,76,55.7,64.6,55.7,49.0,80.0,6.7,59.0,-1,111,723.6620023701641
osiris,185,92,26,64,3,84.3,86.5,84.3,84.0,3.2,28.9,6.7,4,5,117.25076400009361
oyente,185,92,24,66,3,85.4,87.3,85.4,85.2,3.2,26.7,44.0,44,0,7.911724689844492
slither-0.10.4,185,94,16,74,1,90.8,91.9,90.8,90.7,1.1,17.8,8.0,8,0,1.3268926865345723
