contract_address,label,confuzzius,mythril-0.24.7,osiris,oyente,slither-0.10.4
IntergerOU*0*0x95be22039da3114d17a38b9e7cd9b3576de83924.sol,0,0,0,1,1,NA
IntergerOU*0*0x9759A6Ac90977b93B58547b4A71c78317f391A28.sol,0,0,0,0,0,NA
IntergerOU*0*0x9cA85572E6A3EbF24dEDd195623F188735A5179f.sol,0,0,0,0,0,NA
IntergerOU*0*0x9f8F72aA9304c8B593d555F12eF6589cC3A579A2.sol,0,1,0,0,0,NA
IntergerOU*0*0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48.sol,0,0,0,1,0,NA
IntergerOU*0*0xA478c2975Ab1Ea89e8196811F51A7B7Ade33eB11.sol,0,0,0,0,0,NA
IntergerOU*0*0xA950524441892A31ebddF91d3cEEFa04Bf454466.sol,0,0,0,0,0,NA
IntergerOU*0*0xAed0c38402a5d19df6E4c03F4E2DceD6e29c1ee9.sol,0,0,0,0,0,NA
IntergerOU*0*0xB3319f5D18Bc0D84dD1b4825Dcde5d5f7266d407.sol,0,0,0,0,0,NA
IntergerOU*0*0xB4e16d0168e52d35CaCD2c6185b44281Ec28C9Dc.sol,0,0,0,0,0,NA
IntergerOU*0*0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D.sol,0,0,0,0,0,NA
IntergerOU*0*0xC011a73ee8576Fb46F5E1c5751cA3B9Fe0af2a6F.sol,0,0,0,0,0,NA
IntergerOU*0*0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2.sol,0,0,0,1,1,NA
IntergerOU*0*0xC0AEe478e3658e2610c5F7A4A2E1777cE9e4f2Ac.sol,0,0,0,0,0,NA
IntergerOU*0*0xC11b1268C1A384e55C48c2391d8d480264A3A7F4.sol,0,0,0,0,0,NA
IntergerOU*0*0xC586BeF4a0992C495Cf22e1aeEE4E446CECDee0E.sol,0,0,0,0,0,NA
IntergerOU*0*0xD71eCFF9342A5Ced620049e616c5035F1dB98620.sol,0,0,0,0,0,NA
IntergerOU*0*0xDA7a001b254CD22e46d3eAb04d937489c93174C3.sol,0,0,0,0,0,NA
IntergerOU*0*0xDC3EA94CD0AC27d9A86C180091e7f78C683d3699.sol,0,0,0,0,0,NA
IntergerOU*0*0xEe9F2375b4bdF6387aa8265dD4FB8F16512A1d46.sol,0,0,0,0,0,NA
IntergerOU*0*0xF4030086522a5bEEa4988F8cA5B36dbC97BeE88c.sol,0,0,0,0,0,NA
IntergerOU*0*0xF5DCe57282A584D2746FaF1593d3121Fcac444dC.sol,0,0,0,0,0,NA
IntergerOU*0*0xa7d8d9ef8D8Ce8992Df33D8b8CF4Aebabd5bD270.sol,0,0,0,0,0,NA
IntergerOU*0*0xab0b54efe35457d92cfcddcf4d2cd6f0cb788036.sol,0,0,0,1,0,NA
IntergerOU*0*0xb440DD674e1243644791a4AdfE3A2AbB0A92d309.sol,0,0,0,0,0,NA
IntergerOU*0*0xb49f677943BC038e9857d61E7d053CaA2C1734C1.sol,0,0,0,0,0,NA
IntergerOU*0*0xb68bb1f5334da5ea8866d9c8b673c3798a5ca390.sol,0,1,0,1,1,NA
IntergerOU*0*0xba100000625a3754423978a60c9317c58a424e3D.sol,0,0,0,0,0,NA
IntergerOU*0*0xc00e94Cb662C3520282E6f5717214004A7f26888.sol,0,0,0,0,0,NA
IntergerOU*0*0xc77add231ef94ca78968aa6ce7e4f4474362c544.sol,0,1,0,0,0,NA
IntergerOU*0*0xc8f1afa19f100db8dd2bdc96e49a03d4555433ea.sol,0,1,0,1,1,NA
IntergerOU*0*0xc944E90C64B2c07662A292be6244BDf05Cda44a7.sol,0,0,0,0,0,NA
IntergerOU*0*0xcb66296bcc40a0e0b4e9b5000d9375fe31675ad0.sol,0,0,0,0,0,NA
IntergerOU*0*0xd2ddb846a0ee31eb1f7150bfc31d324a4c674c38.sol,0,0,0,0,0,NA
IntergerOU*0*0xd9e1cE17f2641f24aE83637ab66a2cca9C378B9F.sol,0,0,0,0,0,NA
IntergerOU*0*0xdAC17F958D2ee523a2206206994597C13D831ec7.sol,0,1,0,0,1,NA
IntergerOU*0*0xe413cbb9a3b64ffe1f7b08898d91ccacf6c457a7.sol,0,0,0,0,1,NA
IntergerOU*0*0xf0dfc51059b085f6ed0106f190e2d62300381259.sol,0,1,0,1,1,NA
IntergerOU*0*0xf27656a58bf4f0115eadf5f163bb1a41b40e1798.sol,0,0,0,0,0,NA
IntergerOU*0*0xf87e31492Faf9A91B02Ee0dEAAd50d51d56D5d4d.sol,0,0,0,1,1,NA
IntergerOU*1*0x0176d6746520dd73c2db032348530520d64e074e.sol,1,0,0,1,1,NA
IntergerOU*1*0x01b6e3aabe55d9ab81ef306479801448a4ca60c9.sol,1,0,0,1,1,NA
IntergerOU*1*0x0c3dfe0a6940b2aa81d81418776012d7385c521e.sol,1,0,0,1,0,NA
IntergerOU*1*0x0efef0b34638addc8833ba729ae20016b5f24ffc.sol,1,0,0,1,1,NA
IntergerOU*1*0x141766882733cafa9033e8707548fdcac908db22.sol,1,0,0,1,0,NA
IntergerOU*1*0x1a7208627ffe43a69f13f3c393a41712fa4a7831.sol,1,0,0,1,0,NA
IntergerOU*1*0x1ac21b27f5683cc87e7cc853d6d4c052b08f0fe4.sol,1,0,0,1,1,NA
IntergerOU*1*0x23bbc7247b4dbdb4487c9b92d998e106883a9efa.sol,1,0,0,1,0,NA
IntergerOU*1*0x2974aa2c025aeac44bb8d284e33b9e7d527f0025.sol,1,0,1,1,0,NA
IntergerOU*1*0x2c2391f793f4f81475d87fffe366458ce5380a13.sol,1,1,1,1,1,NA
IntergerOU*1*0x2c8382ca66d5611987b393aa6e39b6a9c406bbd2.sol,1,0,0,1,0,NA
IntergerOU*1*0x2f97dc94317760c7204e72a5bd058c10b409dc12.sol,1,0,0,1,1,NA
IntergerOU*1*0x30eeb23197fb7ac4600aedf24a59aedfcd1a00e3.sol,1,0,0,1,1,NA
IntergerOU*1*0x312cb5dfc8e5414422568d017b475a40a5fc4faf.sol,1,0,0,1,1,NA
IntergerOU*1*0x34bd7814bfef669936f05e355abd882acfc569b2.sol,1,0,0,1,1,NA
IntergerOU*1*0x36cce24d6314445c11beb80f99f9f14b5ea9ecc2.sol,1,0,0,1,1,NA
IntergerOU*1*0x3978fa77d9c4ba10699120505d4463af9629e39e.sol,1,0,1,0,1,NA
IntergerOU*1*0x398193d0f35a132b9d8f7252c29d3c269c6f9965.sol,1,1,0,1,1,NA
IntergerOU*1*0x3a37dcda0503f92626c082540dfbc9d95104ab96.sol,1,0,0,1,1,NA
IntergerOU*1*0x3fd30f3e1fbf4f3ea6bdf3e3bb11826266708869.sol,1,0,0,1,0,NA
IntergerOU*1*0x415f306a0628d35183f42d0607cd03fcb71d1e1f.sol,1,1,1,1,1,NA
IntergerOU*1*0x4209f9bbb4e4dd48dbd84701fcaaab1d492b5a05.sol,1,0,0,1,1,NA
IntergerOU*1*0x464d735f2def24938d5eccd3647f4b2d5a702a68.sol,1,0,0,1,1,NA
IntergerOU*1*0x47a15658051e1c68795f8d51d1f29de8b6ccacd2.sol,1,0,0,1,1,NA
IntergerOU*1*0x48e18ddad6c56062630092ddbd9003704c44acf0.sol,1,0,0,0,1,NA
IntergerOU*1*0x4eb3ce14fda3a874ecad0e9ad988258c827bae82.sol,1,0,0,1,1,NA
IntergerOU*1*0x56d06701fd44a4a857cb96b266f505a2832950c5.sol,1,0,0,1,1,NA
IntergerOU*1*0x579fa0a1872459138aad423644c9c5038fa31807.sol,1,0,0,1,1,NA
IntergerOU*1*0x598ab825d607ace3b00d8714c0a141c7ae2e6822.sol,1,0,0,1,1,NA
IntergerOU*1*0x5d8cad8836a8fa73ab202249cb7bfce296876e00.sol,1,0,0,1,1,NA
IntergerOU*1*0x607e87cdc8bf7707c95c2de208256e350a7d3239.sol,1,0,0,1,0,NA
IntergerOU*1*0x62590a381465eeb2c909787fc927d150ce340d5b.sol,1,0,0,1,1,NA
IntergerOU*1*0x658b3573f8222c2d792ff1199933a88680b12973.sol,1,0,0,1,1,NA
IntergerOU*1*0x75f75b2a604f72c95a131aa3e18682b57052937b.sol,1,0,0,0,0,NA
IntergerOU*1*0x7cbc6211e6b065b6ef1b2addf842d0105f7619c7.sol,1,0,0,1,0,NA
IntergerOU*1*0x7e312bdb6ae3bb7ecf2fe2606533a330fbf583e4.sol,1,0,0,1,1,NA
IntergerOU*1*0x841c87a11832d1d2386ffab3bfd0e999c6a7a338.sol,1,0,0,1,1,NA
IntergerOU*1*0x861825daa0068136a55f6effb3f4a0b9aa17f51f.sol,1,0,0,1,1,NA
IntergerOU*1*0x86e4dc25259ee2191cd8ae40e1865b9f0319646c.sol,1,0,0,1,0,NA
IntergerOU*1*0x9337651f1dfac7f858d4e08a2da27b001e6af6b8.sol,1,0,1,1,1,NA
IntergerOU*1*0x968815cd73647c3af02a740a2438d6f8219e7534.sol,1,0,0,0,1,NA
IntergerOU*1*0x9824b41766c3d41d2f8955d9e2552ca02a1806d0.sol,1,1,0,1,1,NA
IntergerOU*1*0x98cdcf8cd44c216fe370cf5c420d9630ae916fc4.sol,1,0,0,0,1,NA
IntergerOU*1*0xa4ec44afee34feffbae5ce4218d3c06ebd70455e.sol,1,0,1,1,0,NA
IntergerOU*1*0xa9e3440d5c64e99c77410ec4b15746b835add59e.sol,1,0,0,1,1,NA
IntergerOU*1*0xc333228daab9bde8a3866efa3a9e616b7e1bae51.sol,1,0,0,1,1,NA
IntergerOU*1*0xc8f0fcc41b3364a770e7ef1bbd22e2fc768c6e87.sol,1,0,0,1,1,NA
